well,type,n,unique_id,replicate,colour,x,Population,Ancestor_ID,Treatment,Note,plate
E04,algae,10684,E04_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,6
E05,algae,1281,E05_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,6
E06,algae,5032,E06_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,6
E07,algae,1796,E07_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,6
E08,algae,2037,E08_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,6
E09,algae,12653,E09_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,6
E10,algae,2356,E10_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,6
E11,algae,43,E11_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,6
F02,algae,2565,F02_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,6
F03,algae,5,F03_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA,6
F04,algae,1887,F04_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,6
F05,algae,10114,F05_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,6
F06,algae,10143,F06_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,6
F07,algae,664,F07_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA,6
F08,algae,11696,F08_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,6
F09,algae,1053,F09_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA,6
F10,algae,14160,F10_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,6
F11,algae,728,F11_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,6
G02,algae,2059,G02_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,6
G03,algae,10478,G03_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,6
G04,algae,12725,G04_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,6
G05,algae,3430,G05_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,6
G06,algae,3750,G06_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,6
G07,algae,5,G07_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA,6
G08,algae,1294,G08_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,6
G09,algae,2308,G09_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,6
G10,algae,2,G10_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,6
G11,algae,3189,G11_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,6
A03,algae,4,NA,NA,NA,NA,NA,NA,NA,NA,5
A04,algae,1,NA,NA,NA,NA,NA,NA,NA,NA,5
A05,algae,11,NA,NA,NA,NA,NA,NA,NA,NA,5
B02,algae,8857,B02_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,5
B03,algae,4426,B03_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,5
B04,algae,16,B04_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,5
B05,algae,14040,B05_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,5
B06,algae,280,B06_24_Anc 4_C,NA,gx,x,24,Anc 4,C,NA,5
B07,algae,5015,B07_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,5
B08,algae,386,B08_11_Anc 4_N,NA,yx,x,11,Anc 4,N,NA,5
B09,algae,5062,B09_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,5
B10,algae,28,B10_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,5
B11,algae,4890,B11_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,5
B12,algae,1,NA,NA,NA,NA,NA,NA,NA,NA,5
C02,algae,8329,C02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,5
C03,algae,7935,C03_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,5
C04,algae,340,C04_24_Anc 4_C,NA,gx,x,24,Anc 4,C,NA,5
C05,algae,356,C05_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,5
