population,temperature,growth,ancestor_id,treatment,note
1,10.9,0.3128685159344425,anc2,N,NA
1,11,0.3183263477451311,anc2,N,NA
1,11.100000000000001,0.323859806625533,anc2,N,NA
1,11.200000000000001,0.3294697243397391,anc2,N,NA
1,11.3,0.33515693817761716,anc2,N,NA
1,11.4,0.34092229090649334,anc2,N,NA
1,11.5,0.34676663071985436,anc2,N,NA
1,11.600000000000001,0.3526908111829863,anc2,N,NA
1,11.700000000000001,0.3586956911754703,anc2,N,NA
1,11.8,0.3647821348304475,anc2,N,NA
1,11.9,0.3709510114705678,anc2,N,NA
1,12,0.37720319554053194,anc2,N,NA
1,12.100000000000001,0.3835395665361391,anc2,N,NA
1,12.200000000000001,0.38996100892974384,anc2,N,NA
1,12.3,0.39646841209203126,anc2,N,NA
1,12.4,0.40306267021000997,anc2,N,NA
