plate,well,subflow.peaks.cluster,n
13,C07,1,10
13,C08,1,7
13,C09,1,9
13,C10,1,10
13,D02,1,217
13,D03,1,1443
13,D04,1,1
13,D05,1,12
13,D06,1,4
13,D07,1,3
13,D09,1,1
13,D10,1,11
13,D11,1,7
13,E02,1,1047
13,E03,1,5
13,E04,1,1277
13,E05,1,3
13,E06,1,16
13,E07,1,197
13,E08,1,8
13,E09,1,1430
13,E10,1,13
13,F02,1,71
13,F04,1,15
13,F05,1,90
13,F06,1,979
13,F07,1,1
13,F08,1,978
13,F09,1,8
13,F10,1,209
13,F11,1,36
13,G02,1,40
13,G03,1,1084
13,G04,1,119
13,G05,1,11
13,G06,1,38
13,G08,1,14
13,G09,1,11
13,G10,1,1
13,G11,1,28
14,B02,1,15165
14,B03,1,11494
14,B04,1,1
14,B05,1,12166
14,B06,1,261
14,B07,1,7848
14,B08,1,877
14,B09,1,10347
14,B11,1,13302
14,C02,1,11218
14,C03,1,10289
14,C04,1,473
14,C05,1,2326
14,C06,1,1
14,C07,1,2052
14,C08,1,513
14,C09,1,1
14,C10,1,660
14,C11,1,1
14,D02,1,10712
14,D03,1,20954
14,D05,1,1032
14,D06,1,1347
14,D07,1,918
14,D09,1,1208
14,D10,1,1531
14,D11,1,708
14,E02,1,9999
14,E03,1,1389
14,E04,1,15307
14,E05,1,1683
14,E06,1,6298
14,E07,1,5964
14,E08,1,1483
14,E09,1,17970
14,E10,1,1278
14,E11,1,3
14,F02,1,3056
14,F04,1,1997
14,F05,1,9142
14,F06,1,11594
14,F07,1,837
14,F08,1,16654
14,F09,1,722
14,F10,1,11682
14,F11,1,1115
14,G02,1,1833
14,G03,1,8671
14,G04,1,7798
14,G05,1,2345
14,G06,1,2731
14,G07,1,4
14,G08,1,1726
14,G09,1,1597
14,G11,1,1546
25,B02,1,14
25,B03,1,2
25,B05,1,4
25,B07,1,1
25,B08,1,1
25,B09,1,10
25,B11,1,1
25,C02,1,7
25,C03,1,6
25,C08,1,1
25,C10,1,1
25,D03,1,13
25,D05,1,1
25,D07,1,2
25,D09,1,1
25,D10,1,1
25,D11,1,1
25,E02,1,14
25,E04,1,12
25,E05,1,1
25,E07,1,15
25,E08,1,1
25,E09,1,9
25,E10,1,5
25,E11,1,1
25,F02,1,2
25,F04,1,3
25,F05,1,1
25,F06,1,15
25,F08,1,8
25,F10,1,2
25,F11,1,1
25,G02,1,6
25,G03,1,15
25,G05,1,4
25,G06,1,3
25,G08,1,3
25,G09,1,2
25,G10,1,1
25,G11,1,4
